codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio
5101,Valparaíso,284938,272618,12320,4.32,36.8,30.1,11.4,11.9,53.9,63.2,46.98
5102,Casablanca,29876,27607,2269,7.59,34.5,28.7,10.8,10.3,56.4,71.8,44.21
13101,Santiago,5806,258429,176956,3047.8126076472613,35.0,34.0,14.421517757972174,13.80532818251394,72.65863243384857,83.34047804624578,26.21068282540111
13102,Cerrillos,85041,71466,12732,15.0,36.0,34.0,11.725,11.439,60.8,69.5,46.3
13104,Conchalí,121587,103271,17686,14.54596297301521,39.0,34.0,11.325066467264872,11.98365271802894,61.003947604521805,75.10392919404586,47.86029599542751
13105,Estación Central,155257,142967,11347,7.3,37.0,32.0,10.96,12.194,58.8,71.7,49.7
13107,Huechuraba,101808,92790,8381,8.28,36.0,35.0,12.77,14.12,63.92,75.8,44.0
13109,La Reina,103157,82209,19762,19.38,37.0,32.0,12.91,13.56,67.5,78.9,44.8
13110,La Florida,374836,335340,36685,9.786946824744687,38.0,34.0,12.846742116528745,13.96530903502031,65.99295673680061,78.78579385361378,46.80625237440616
13111,La Granja,112022,101705,9550,8.525111138883434,39.0,32.0,10.85673384925022,12.150498640072527,59.35718379536063,72.13942914877495,49.86421223026395
13112,La Pintana,175421,166483,7732,4.44,34.0,32.0,10.01,11.47,55.71,67.68,49.0
13114,LAS CONDES,292739,261670,31069,10.61320835283307,38.0,40.0,15.967253020040872,16.103877582485353,69.12262491710636,80.11684364267951,47.11981103628505
13115,Lo Barnechea,112620,98589,12198,10.831113478955782,34.0,42.0,14.86880298182538,15.031678750697155,63.15209016331526,73.11209287989314,45.969696576931554
13116,Lo Espejo,87295,80266,6512,7.459762873016783,38.0,32.0,10.356598016781083,11.212395235994707,56.82800098970328,68.39474171449731,49.76239084561409
13118,Macul,123800,105336,17497,14.133279483037157,39.0,35.0,13.33633394303632,14.598976488911964,69.14035980991174,81.18907043800631,44.13281641111615
13119,maipu,500600,469627,30973,6.19,38.0,34.0,12.64,12.98,62.55,73.51,43.27
13120,Ñuñoa,241467,239323,0,0.0,37.0,,15.7067,,77.3343,,38.3377
13122,Quilicura,236478,214770,20141,8.57,38.0,35.0,12.19,13.06,64.6,77.8,43.5
13125,Tiltil,205624,177098,27310,13.36,34.0,34.0,12.17,12.35,62.1,74.0,38.5
13126,Quinta Normal,129351,92347,35630,27.545206453757604,38.0,32.0,11.942871863729332,12.615201049994036,65.53346842396128,78.11306727942419,43.49533518964312
13128,Renca,143622,130218,12523,8.71941624542201,35.0,33.0,10.895059920574488,12.027873787490243,61.2766105307049,72.134724857685,47.257794957500685
13129,San Joaquín,95602,95039,0,0.0,38.0,,12.0399,,65.7219,,47.1774
13131,San Ramón,76002,69248,6214,8.176100628930818,40.0,32.0,10.520866973046829,11.916823308270676,60.3259789306301,73.8268211270371,49.66916108704214
13201,Puente Alto,564477,534717,29760,5.27213686297227,35.0,34.0,12.119722180162295,12.678511471740348,62.39990267376788,71.87045711516717,43.03022063100012
13202,Pirque,29060,28398,442,1.5209910529938058,37.0,40.0,12.411691088282838,13.803814713896458,65.06849315068493,77.71587743732591,48.13682010501096
13203,San José de Maipo,17441,17303,0,0.0,39.0,,12.3072,,65.0779,,48.4593
13301,Colina,173293,149378,22498,13.09,33.0,35.0,12.61,12.78,59.95,70.0,45.82
13302,Lampa,145160,125486,18608,12.8,32.0,33.0,12.165,12.308,64.7,72.7,44.6
13402,Buin,116969,110229,5960,5.0953671485607295,34.0,34.0,12.185436165190104,13.374942209893666,63.13281795243464,72.90721649484536,46.35211390963802
13501,Melipilla,136325,124407,11069,8.17,37.0,30.0,11.07,11.26,58.93,74.38,50.48
13502,Alhué,7768,6871,879,11.34,37.0,28.0,10.6,11.38,63.78,77.52,51.0
13503,CURACAVÍ,34977,33517,1460,4.174171598479,38.0,35.0,11.494169857292029,13.097132284921368,60.37599093997736,70.32312925170068,50.32233109850438
13504,María Pinto,15352,14996,319,2.08,38.0,31.0,10.6,11.46,61.08,69.2,52.0
13601,Talagante,76429,71322,4559,6.01,36.0,32.0,11.83,12.26,59.75,69.74,46.76
13602,El Monte,37497,36404,915,2.45,36.0,34.0,10.9,12.53,60.75,69.14,50.0
13603,Isla de Maipo,39274,37775,1332,3.391556755105159,37.0,31.0,11.147838050314466,12.256438969764838,59.30163973103693,72.28915662650603,47.563404095434905
13605,Peñaflor,94402,90616,3235,3.426834177242008,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394
